ID,Contains Link,Contains Money Words,Length,Class
133,Yes,Yes,Long,Ham
134,No,No,Short,Spam
135,Yes,Yes,Long,Ham
136,Yes,Yes,Long,Spam
137,No,Yes,Short,Ham
138,Yes,Yes,Long,Ham
139,No,No,Long,Spam
140,No,No,Short,Ham
141,Yes,No,Short,Spam
142,Yes,Yes,Long,Spam
143,No,No,Long,Ham
144,No,No,Short,Ham
145,Yes,No,Long,Ham
146,Yes,Yes,Long,Spam
147,Yes,Yes,Long,Spam
148,Yes,Yes,Short,Spam
149,Yes,No,Long,Spam
150,No,No,Short,Ham
151,No,Yes,Short,Ham
152,Yes,No,Long,Ham
153,Yes,No,Long,Ham
154,No,Yes,Long,Ham
155,Yes,Yes,Short,Spam
156,No,Yes,Long,Spam
157,No,No,Long,Spam
158,Yes,Yes,Short,Ham
159,No,No,Short,Ham
160,No,Yes,Short,Ham
161,Yes,Yes,Long,Spam
162,Yes,Yes,Short,Ham
163,Yes,Yes,Long,Ham
164,No,No,Long,Ham
165,No,No,Short,Ham
166,No,Yes,Short,Spam
167,Yes,No,Long,Ham
168,Yes,Yes,Long,Ham
169,Yes,Yes,Short,Ham
170,Yes,Yes,Long,Spam
171,Yes,Yes,Short,Spam
172,Yes,No,Long,Ham
173,No,No,Long,Spam
174,Yes,No,Short,Ham
175,Yes,No,Long,Ham
176,No,Yes,Short,Spam
177,No,No,Short,Spam
178,No,No,Short,Spam
179,Yes,No,Short,Ham
180,No,No,Short,Ham
181,Yes,No,Long,Ham
182,Yes,No,Long,Ham
183,No,No,Long,Ham
184,No,No,Short,Ham
185,Yes,Yes,Long,Spam
186,No,Yes,Long,Spam
187,No,No,Short,Spam
188,No,No,Short,Ham
189,No,No,Long,Ham
190,Yes,No,Short,Ham
191,No,Yes,Long,Ham
192,Yes,Yes,Short,Ham
193,No,No,Long,Spam
194,No,Yes,Short,Spam
195,No,Yes,Short,Ham
196,Yes,No,Short,Ham
197,Yes,Yes,Short,Ham
198,No,Yes,Short,Spam
199,No,No,Long,Spam
200,No,Yes,Short,Ham
201,Yes,No,Short,Ham
202,Yes,No,Short,Ham
203,Yes,Yes,Short,Spam
204,Yes,Yes,Short,Ham
205,No,No,Long,Ham
206,No,Yes,Long,Spam
207,Yes,Yes,Long,Spam
208,Yes,Yes,Long,Spam
209,No,Yes,Long,Ham
210,No,Yes,Long,Spam
211,Yes,No,Long,Ham
212,No,No,Short,Spam
213,No,No,Short,Ham
214,Yes,No,Short,Ham
215,No,No,Short,Ham
216,No,No,Long,Ham
217,Yes,Yes,Short,Spam
218,Yes,No,Long,Spam
219,No,No,Long,Ham
220,No,Yes,Long,Ham
221,Yes,No,Long,Spam
222,No,Yes,Short,Ham
223,Yes,No,Long,Spam
224,Yes,Yes,Long,Spam
225,No,Yes,Short,Spam
226,No,Yes,Short,Spam
227,Yes,No,Short,Ham
228,Yes,Yes,Long,Spam
229,No,No,Short,Spam
230,No,Yes,Short,Ham
231,No,No,Short,Spam
232,No,No,Short,Spam
233,Yes,No,Long,Spam
234,Yes,Yes,Long,Ham
235,No,Yes,Short,Spam
236,No,No,Long,Ham
237,No,Yes,Long,Spam
238,No,No,Long,Ham
239,No,No,Long,Spam
240,Yes,Yes,Long,Ham
241,No,No,Long,Ham
242,No,Yes,Short,Ham
243,No,No,Long,Ham
244,Yes,No,Long,Spam
245,Yes,Yes,Short,Ham
246,Yes,Yes,Short,Ham
247,Yes,Yes,Long,Spam
248,Yes,No,Short,Ham
249,No,Yes,Long,Spam
250,No,Yes,Short,Ham
251,No,No,Short,Ham
252,Yes,Yes,Long,Ham
253,Yes,Yes,Long,Ham
254,No,No,Short,Spam
255,No,No,Long,Spam
256,No,Yes,Long,Ham
257,Yes,Yes,Long,Spam
258,No,No,Long,Ham
259,No,Yes,Long,Ham
260,No,Yes,Long,Spam
261,Yes,Yes,Short,Spam
262,Yes,Yes,Long,Ham
263,Yes,Yes,Short,Ham
264,Yes,Yes,Long,Spam
265,No,No,Short,Ham
266,No,No,Short,Ham
267,Yes,No,Long,Spam
268,No,Yes,Short,Ham
269,Yes,No,Long,Spam
270,Yes,No,Short,Spam
271,No,Yes,Long,Ham
272,No,Yes,Short,Spam
273,Yes,Yes,Short,Spam
274,No,Yes,Short,Spam
275,Yes,Yes,Long,Spam
276,Yes,Yes,Long,Spam
277,No,No,Long,Ham
278,Yes,No,Long,Ham
279,No,No,Long,Ham
280,Yes,No,Short,Spam
281,No,Yes,Long,Ham
282,No,No,Short,Ham
283,No,Yes,Short,Spam
284,Yes,No,Long,Spam
285,Yes,No,Short,Spam
286,Yes,No,Short,Ham
287,No,No,Short,Spam
288,Yes,No,Long,Ham
289,Yes,Yes,Short,Spam
290,No,Yes,Short,Spam
291,No,No,Short,Ham
292,No,No,Long,Spam
293,No,Yes,Short,Ham
294,No,Yes,Long,Spam
295,Yes,Yes,Long,Ham
296,No,No,Short,Ham
297,Yes,No,Long,Spam
298,No,Yes,Short,Spam
299,No,Yes,Short,Spam
300,Yes,No,Short,Spam
301,Yes,No,Short,Spam
302,Yes,No,Long,Ham
303,Yes,Yes,Long,Ham
304,No,Yes,Short,Ham
305,Yes,Yes,Long,Spam
306,Yes,No,Long,Ham
307,Yes,Yes,Long,Ham
308,No,No,Short,Spam
309,No,No,Short,Ham
310,Yes,No,Short,Ham
311,Yes,No,Short,Spam
312,No,No,Short,Ham
313,No,Yes,Short,Ham
314,Yes,Yes,Long,Ham
315,No,Yes,Short,Spam
316,Yes,No,Short,Ham
317,No,Yes,Short,Ham
318,Yes,Yes,Long,Spam
319,No,No,Long,Spam
320,Yes,No,Short,Ham
321,Yes,No,Long,Spam
322,No,Yes,Short,Spam
323,Yes,No,Short,Ham
324,No,Yes,Long,Ham
325,Yes,No,Short,Ham
326,No,Yes,Long,Ham
327,Yes,Yes,Long,Spam
328,Yes,Yes,Short,Ham
329,No,Yes,Short,Ham
330,No,Yes,Long,Spam
331,No,No,Short,Ham
332,Yes,No,Short,Ham
333,Yes,Yes,Short,Spam
334,Yes,No,Short,Ham
335,Yes,No,Short,Spam
336,No,No,Long,Ham
337,No,No,Long,Ham
338,No,No,Long,Ham
339,Yes,No,Short,Spam
340,No,Yes,Long,Ham
341,Yes,Yes,Short,Spam
342,No,Yes,Short,Ham
343,Yes,No,Long,Ham
344,Yes,No,Short,Ham
345,No,No,Long,Spam
346,No,No,Long,Ham
347,Yes,Yes,Long,Spam
348,Yes,No,Short,Spam
349,Yes,Yes,Long,Spam
350,No,Yes,Long,Ham
351,Yes,No,Long,Ham
352,Yes,Yes,Long,Spam
353,No,No,Long,Spam
354,Yes,No,Long,Spam
355,Yes,No,Long,Spam
356,Yes,Yes,Long,Spam
357,Yes,No,Short,Ham
358,Yes,No,Long,Spam
359,Yes,Yes,Short,Ham
360,No,Yes,Short,Spam
361,No,Yes,Short,Ham
362,No,No,Short,Ham
363,Yes,Yes,Long,Ham
364,Yes,Yes,Long,Spam
365,No,Yes,Long,Ham
366,Yes,No,Short,Ham
367,No,Yes,Short,Spam
368,Yes,No,Long,Spam
369,Yes,No,Short,Spam
370,Yes,Yes,Short,Spam
371,No,No,Long,Ham
372,No,Yes,Short,Spam
373,Yes,Yes,Short,Ham
374,Yes,No,Short,Ham
375,Yes,Yes,Long,Spam
376,Yes,Yes,Short,Ham
377,Yes,Yes,Long,Spam
378,No,No,Long,Ham
379,Yes,Yes,Short,Ham
380,No,No,Short,Spam
381,Yes,No,Short,Ham
382,Yes,No,Long,Ham
383,No,No,Long,Spam
384,Yes,Yes,Short,Ham
385,No,No,Long,Ham
386,No,Yes,Long,Ham
387,Yes,No,Long,Ham
388,Yes,Yes,Long,Spam
389,Yes,No,Short,Ham
390,No,No,Long,Spam
391,Yes,No,Long,Ham
392,Yes,No,Short,Spam
393,No,No,Short,Ham
394,No,Yes,Short,Spam
395,No,No,Short,Spam
396,Yes,No,Short,Ham
397,No,No,Long,Ham
398,No,No,Short,Spam
399,No,Yes,Short,Ham
400,No,Yes,Long,Ham
401,No,Yes,Long,Spam
402,Yes,No,Short,Ham
403,Yes,Yes,Long,Spam
404,Yes,No,Long,Ham
405,No,Yes,Long,Spam
406,No,No,Long,Ham
407,No,Yes,Long,Ham
408,No,No,Short,Spam
409,Yes,No,Long,Spam
410,No,No,Short,Spam
411,No,Yes,Short,Ham
412,No,Yes,Long,Ham
413,Yes,No,Long,Spam
414,Yes,Yes,Long,Ham
415,Yes,No,Short,Ham
416,Yes,No,Long,Spam
417,No,No,Short,Ham
418,Yes,No,Long,Ham
419,No,Yes,Long,Spam
420,No,Yes,Short,Ham
421,No,No,Short,Spam
422,Yes,No,Short,Ham
423,No,Yes,Long,Spam
424,No,No,Long,Spam
425,Yes,No,Short,Spam
426,No,No,Short,Spam
427,No,Yes,Short,Ham
428,Yes,No,Short,Spam
429,No,Yes,Long,Spam
430,Yes,Yes,Short,Ham
431,Yes,No,Long,Spam
432,Yes,Yes,Long,Ham
433,No,No,Short,Ham
434,No,No,Short,Spam
435,Yes,Yes,Long,Ham
436,Yes,Yes,Long,Spam
437,No,No,Short,Spam
438,Yes,Yes,Long,Ham
439,Yes,Yes,Short,Ham
440,Yes,No,Long,Spam
441,No,No,Short,Spam
442,Yes,No,Long,Ham
443,Yes,Yes,Long,Spam
444,Yes,No,Short,Ham
445,No,No,Long,Spam
446,Yes,Yes,Long,Spam
447,Yes,No,Long,Ham
448,Yes,No,Long,Spam
449,No,Yes,Short,Spam
450,No,Yes,Short,Ham
451,No,No,Short,Ham
452,Yes,Yes,Long,Ham
453,Yes,No,Long,Ham
454,Yes,Yes,Short,Spam
455,Yes,No,Long,Ham
456,No,No,Long,Spam
457,No,No,Short,Ham
458,Yes,No,Long,Ham
459,Yes,No,Short,Spam
460,No,No,Short,Ham
461,Yes,No,Short,Spam
462,No,Yes,Long,Spam
463,Yes,No,Long,Ham
464,No,Yes,Short,Ham
465,Yes,No,Long,Ham
466,Yes,Yes,Short,Ham
467,Yes,No,Long,Spam
468,Yes,No,Long,Ham
469,No,No,Long,Ham
470,Yes,No,Short,Ham
471,No,Yes,Long,Ham
472,Yes,Yes,Long,Ham
473,No,Yes,Long,Spam
474,Yes,No,Long,Spam
475,No,Yes,Short,Spam
476,Yes,Yes,Long,Ham
477,No,No,Long,Ham
478,Yes,No,Long,Spam
479,Yes,Yes,Short,Ham
480,Yes,Yes,Long,Spam
481,Yes,Yes,Long,Ham
482,No,No,Short,Ham
483,No,Yes,Short,Spam
484,Yes,No,Long,Spam
485,Yes,Yes,Short,Spam
486,Yes,Yes,Long,Spam
487,Yes,Yes,Short,Spam
488,Yes,Yes,Long,Spam
489,No,Yes,Short,Spam
490,Yes,Yes,Short,Ham
491,No,No,Short,Ham
492,Yes,No,Short,Spam
493,Yes,No,Short,Spam
494,No,No,Short,Ham
495,No,No,Short,Spam
496,Yes,Yes,Long,Ham
497,No,Yes,Long,Ham
498,Yes,No,Short,Spam
499,No,No,Short,Spam
500,No,Yes,Long,Spam
501,No,Yes,Short,Ham
502,Yes,No,Long,Spam
503,No,No,Short,Spam
504,Yes,Yes,Short,Ham
505,No,No,Long,Spam
506,Yes,Yes,Short,Ham
507,No,No,Long,Spam
508,No,Yes,Short,Ham
509,No,No,Short,Ham
510,Yes,Yes,Short,Ham
511,Yes,Yes,Short,Ham
512,No,No,Short,Spam
513,Yes,Yes,Long,Spam
514,Yes,No,Long,Ham
515,Yes,Yes,Long,Ham
516,Yes,No,Long,Ham
517,Yes,No,Short,Spam
518,Yes,Yes,Long,Spam
519,No,Yes,Short,Ham
520,No,Yes,Long,Ham
521,Yes,No,Short,Spam
522,Yes,No,Short,Spam
523,No,No,Long,Ham
524,Yes,Yes,Short,Spam
525,Yes,No,Long,Spam
526,Yes,Yes,Short,Spam
527,No,No,Short,Spam
528,No,No,Long,Ham
529,Yes,Yes,Long,Ham
530,No,No,Long,Ham
531,No,Yes,Long,Ham
532,No,No,Short,Spam
533,No,Yes,Long,Spam
534,Yes,Yes,Long,Ham
535,Yes,No,Long,Spam
536,No,Yes,Long,Ham
537,No,No,Long,Spam
538,No,No,Short,Spam
539,Yes,No,Long,Ham
540,Yes,Yes,Short,Ham
541,Yes,Yes,Short,Spam
542,Yes,Yes,Long,Ham
543,Yes,Yes,Long,Spam
544,Yes,Yes,Short,Ham
545,No,No,Long,Ham
546,Yes,No,Short,Ham
547,No,No,Long,Ham
548,No,No,Long,Ham
549,No,Yes,Short,Spam
550,No,Yes,Long,Ham
551,No,No,Short,Spam
552,No,No,Short,Ham
553,No,Yes,Short,Spam
554,Yes,No,Short,Spam
555,No,Yes,Short,Spam
556,Yes,Yes,Short,Spam
557,Yes,No,Short,Spam
558,Yes,No,Short,Spam
559,No,No,Long,Spam
560,No,Yes,Long,Spam
561,No,No,Long,Spam
562,No,No,Long,Ham
563,Yes,Yes,Long,Spam
564,No,Yes,Long,Ham
565,Yes,Yes,Long,Ham
566,Yes,Yes,Long,Spam
567,Yes,Yes,Short,Ham
568,No,No,Long,Spam
569,Yes,No,Long,Ham
570,No,No,Short,Ham
571,Yes,Yes,Short,Spam
572,No,Yes,Short,Ham
573,Yes,Yes,Short,Ham
574,No,No,Short,Spam
575,Yes,Yes,Long,Spam
576,Yes,No,Short,Spam
577,Yes,No,Short,Spam
578,Yes,No,Long,Spam
579,Yes,Yes,Long,Ham
580,No,Yes,Long,Ham
581,No,Yes,Long,Ham
582,Yes,Yes,Short,Ham
583,No,Yes,Short,Spam
584,Yes,Yes,Long,Ham
585,No,Yes,Short,Ham
586,Yes,No,Short,Ham
587,Yes,Yes,Long,Spam
588,Yes,No,Long,Spam
589,Yes,Yes,Short,Ham
590,No,Yes,Short,Ham
591,Yes,No,Long,Spam
592,No,No,Long,Spam
593,Yes,No,Long,Ham
594,No,No,Short,Ham
595,Yes,No,Short,Spam
596,Yes,Yes,Short,Ham
597,Yes,Yes,Short,Ham
598,Yes,No,Short,Spam
599,Yes,No,Long,Spam
600,Yes,Yes,Long,Spam
601,No,No,Long,Spam
602,No,No,Short,Spam
603,No,No,Long,Ham
604,Yes,No,Short,Spam
605,No,Yes,Long,Spam
606,Yes,Yes,Long,Ham
607,No,No,Short,Spam
608,No,No,Short,Ham
609,Yes,No,Long,Ham
610,No,No,Short,Ham
611,No,Yes,Long,Spam
612,No,No,Long,Spam
613,No,Yes,Short,Ham
614,Yes,No,Short,Ham
615,Yes,No,Long,Ham
616,Yes,No,Short,Ham
617,No,Yes,Long,Spam
618,No,No,Long,Ham
619,Yes,No,Short,Spam
620,Yes,Yes,Short,Ham
621,Yes,No,Long,Ham
622,No,No,Short,Spam
623,No,Yes,Long,Spam
624,No,Yes,Short,Spam
625,No,Yes,Long,Spam
626,Yes,Yes,Short,Ham
627,Yes,No,Long,Ham
628,No,No,Short,Ham
629,Yes,No,Long,Spam
630,No,Yes,Short,Ham
631,No,No,Short,Spam
632,No,Yes,Long,Spam
633,No,No,Long,Ham
634,No,Yes,Long,Spam
635,No,No,Short,Ham
636,No,Yes,Long,Spam
637,Yes,Yes,Long,Ham
638,No,No,Long,Ham
639,No,Yes,Long,Ham
640,No,No,Long,Spam
641,No,No,Long,Spam
642,Yes,No,Long,Ham
643,No,Yes,Short,Spam
644,No,Yes,Short,Ham
645,No,Yes,Long,Ham
646,Yes,Yes,Long,Spam
647,Yes,Yes,Short,Ham
648,Yes,Yes,Long,Spam
649,No,No,Long,Ham
650,No,No,Long,Ham
651,No,No,Short,Ham
652,No,Yes,Long,Spam
653,No,Yes,Long,Ham
654,Yes,Yes,Long,Ham
655,No,Yes,Short,Ham
656,No,Yes,Long,Ham
657,No,Yes,Short,Spam
658,No,No,Short,Ham
659,No,No,Long,Spam
660,No,No,Long,Ham
661,Yes,Yes,Short,Ham
662,Yes,No,Short,Ham
663,Yes,No,Long,Ham
664,Yes,No,Long,Ham
665,No,Yes,Long,Ham
666,No,No,Short,Ham
667,No,No,Short,Spam
668,Yes,No,Long,Ham
669,No,Yes,Short,Spam
670,No,No,Short,Ham
671,Yes,No,Short,Spam
672,No,Yes,Short,Ham
673,Yes,No,Short,Ham
674,No,Yes,Short,Ham
675,No,Yes,Short,Ham
676,Yes,Yes,Short,Ham
677,No,No,Long,Spam
678,No,No,Short,Ham
679,No,No,Long,Ham
680,Yes,Yes,Short,Ham
681,No,Yes,Long,Ham
682,Yes,Yes,Short,Ham
683,Yes,No,Short,Spam
684,No,No,Long,Ham
685,No,Yes,Short,Spam
686,No,Yes,Short,Ham
687,No,Yes,Long,Spam
688,Yes,Yes,Short,Spam
689,No,Yes,Short,Spam
690,Yes,No,Long,Ham
691,Yes,Yes,Long,Spam
692,Yes,No,Long,Spam
693,No,Yes,Long,Spam
694,No,No,Short,Ham
695,No,No,Short,Ham
696,Yes,No,Long,Spam
697,No,No,Long,Spam
698,Yes,Yes,Short,Spam
699,Yes,Yes,Long,Spam
700,No,Yes,Short,Ham
701,Yes,Yes,Long,Ham
702,Yes,Yes,Short,Spam
703,No,Yes,Long,Spam
704,Yes,No,Short,Ham
705,Yes,No,Short,Ham
706,Yes,No,Short,Ham
707,Yes,No,Long,Ham
708,No,No,Short,Ham
709,No,No,Long,Ham
710,Yes,No,Long,Ham
711,Yes,No,Short,Ham
712,No,No,Short,Ham
713,No,No,Long,Spam
714,Yes,Yes,Long,Spam
715,Yes,Yes,Long,Ham
716,Yes,No,Short,Ham
717,No,No,Short,Ham
718,No,No,Long,Spam
719,Yes,No,Long,Spam
720,Yes,Yes,Short,Spam
721,No,Yes,Short,Spam
722,Yes,No,Short,Spam
723,Yes,Yes,Long,Ham
724,Yes,No,Long,Spam
725,No,No,Short,Ham
726,No,No,Short,Spam
727,No,No,Short,Ham
728,No,Yes,Short,Spam
729,Yes,No,Long,Spam
730,Yes,Yes,Long,Ham
731,Yes,No,Short,Ham
732,No,No,Long,Spam
733,Yes,No,Long,Spam
734,No,No,Long,Spam
735,Yes,Yes,Long,Ham
736,Yes,No,Short,Ham
737,No,Yes,Long,Ham
738,Yes,Yes,Long,Ham
739,Yes,No,Short,Spam
740,No,No,Short,Ham
741,Yes,Yes,Long,Spam
742,No,Yes,Long,Ham
743,No,No,Long,Spam
744,No,No,Long,Spam
745,No,Yes,Long,Ham
746,No,Yes,Long,Spam
747,Yes,No,Long,Spam
748,Yes,No,Short,Spam
749,No,Yes,Short,Ham
750,No,Yes,Short,Spam
751,No,Yes,Short,Ham
752,Yes,No,Short,Spam
753,No,Yes,Long,Spam
754,No,No,Short,Ham
755,Yes,No,Long,Ham
756,Yes,Yes,Short,Ham
757,Yes,No,Long,Spam
758,No,No,Short,Ham
759,No,No,Long,Ham
760,Yes,Yes,Long,Spam
761,Yes,No,Short,Ham
762,Yes,No,Short,Ham
763,No,No,Short,Ham
764,Yes,Yes,Long,Spam
765,No,Yes,Long,Ham
766,No,No,Short,Spam
767,Yes,Yes,Long,Spam
768,No,Yes,Short,Spam
769,Yes,No,Long,Spam
770,Yes,Yes,Long,Ham
771,Yes,Yes,Long,Ham
772,No,Yes,Long,Ham
773,No,No,Long,Spam
774,No,No,Short,Spam
775,Yes,Yes,Long,Ham
776,No,Yes,Long,Ham
777,Yes,Yes,Long,Ham
778,Yes,Yes,Long,Spam
779,No,Yes,Long,Spam
780,Yes,No,Long,Spam
781,No,No,Short,Ham
782,No,No,Short,Spam
783,No,Yes,Long,Spam
784,No,Yes,Short,Spam
785,No,Yes,Long,Spam
786,Yes,No,Short,Ham
787,Yes,Yes,Short,Spam
788,Yes,No,Short,Spam
789,No,No,Long,Ham
790,Yes,Yes,Short,Spam
791,No,No,Short,Ham
792,No,No,Short,Ham
793,Yes,No,Long,Ham
794,No,Yes,Short,Ham
795,No,No,Short,Spam
796,No,Yes,Long,Ham
797,Yes,Yes,Long,Ham
798,No,Yes,Short,Ham
799,No,Yes,Short,Ham
800,No,No,Short,Spam
801,Yes,Yes,Short,Ham
802,No,No,Long,Spam
803,Yes,Yes,Short,Spam
804,No,Yes,Long,Spam
805,No,Yes,Short,Ham
806,Yes,Yes,Short,Spam
807,Yes,Yes,Short,Spam
808,Yes,Yes,Long,Ham
809,No,No,Long,Spam
810,Yes,Yes,Long,Ham
811,No,No,Short,Spam
812,No,Yes,Short,Ham
813,No,Yes,Long,Spam
814,Yes,Yes,Short,Spam
815,No,Yes,Short,Ham
816,Yes,Yes,Long,Ham
817,No,No,Long,Ham
818,No,Yes,Short,Ham
819,No,Yes,Short,Ham
820,Yes,No,Short,Spam
821,No,No,Long,Spam
822,Yes,No,Short,Ham
823,No,Yes,Long,Ham
824,Yes,Yes,Short,Ham
825,Yes,No,Long,Spam
826,Yes,No,Short,Spam
827,Yes,Yes,Long,Spam
828,Yes,Yes,Long,Ham
829,Yes,Yes,Short,Ham
830,Yes,No,Short,Spam
831,No,No,Long,Ham
832,Yes,No,Long,Ham
833,No,No,Long,Ham
834,No,No,Long,Ham
835,Yes,No,Short,Spam
836,Yes,Yes,Long,Ham
837,Yes,Yes,Long,Ham
838,No,No,Short,Ham
839,No,No,Long,Spam
840,No,No,Short,Spam
841,No,Yes,Short,Spam
842,No,Yes,Long,Ham
843,Yes,Yes,Long,Ham
844,Yes,No,Short,Spam
845,Yes,No,Short,Spam
846,Yes,No,Short,Spam
847,No,No,Short,Ham
848,Yes,No,Short,Spam
849,No,Yes,Short,Spam
850,Yes,Yes,Long,Spam
851,No,No,Short,Spam
852,Yes,Yes,Long,Spam
853,No,Yes,Long,Ham
854,Yes,Yes,Long,Ham
855,Yes,No,Short,Spam
856,No,Yes,Long,Ham
857,No,No,Short,Ham
858,Yes,No,Long,Ham
859,No,Yes,Short,Spam
860,Yes,No,Short,Spam
861,Yes,No,Long,Ham
862,No,No,Short,Ham
863,Yes,No,Long,Spam
864,No,No,Long,Spam
865,Yes,Yes,Short,Ham
866,No,Yes,Long,Ham
867,Yes,Yes,Long,Ham
868,Yes,No,Short,Spam
869,Yes,Yes,Long,Spam
870,Yes,Yes,Long,Spam
871,No,No,Long,Spam
872,Yes,Yes,Short,Ham
873,No,Yes,Short,Ham
874,No,No,Long,Ham
875,Yes,Yes,Long,Ham
876,No,No,Short,Ham
877,No,Yes,Long,Spam
878,No,No,Short,Spam
879,No,No,Short,Spam
880,Yes,Yes,Short,Spam
881,Yes,Yes,Short,Spam
882,Yes,Yes,Short,Spam
883,Yes,Yes,Long,Spam
884,Yes,No,Long,Spam
885,No,Yes,Short,Spam
886,No,Yes,Short,Ham
887,Yes,No,Short,Ham
888,No,No,Long,Ham
889,Yes,No,Short,Spam
890,Yes,No,Long,Ham
891,No,Yes,Short,Ham
892,Yes,Yes,Short,Ham
893,No,No,Long,Ham
894,No,No,Long,Spam
895,No,No,Long,Spam
896,No,No,Short,Spam
897,Yes,No,Short,Spam
898,Yes,Yes,Short,Spam
899,Yes,Yes,Short,Ham
900,No,No,Long,Spam
901,Yes,No,Long,Spam
902,No,Yes,Short,Ham
903,Yes,No,Long,Spam
904,Yes,No,Short,Ham
905,No,No,Long,Spam
906,Yes,Yes,Long,Spam
907,Yes,No,Short,Spam
908,Yes,No,Long,Spam
909,No,No,Long,Spam
910,Yes,Yes,Long,Spam
911,Yes,No,Short,Spam
912,No,Yes,Long,Ham
913,Yes,No,Short,Ham
914,No,Yes,Long,Ham
915,Yes,Yes,Short,Ham
916,Yes,No,Short,Ham
917,No,No,Long,Spam
918,Yes,Yes,Long,Ham
919,Yes,No,Long,Ham
920,Yes,No,Long,Ham
921,No,Yes,Long,Spam
922,Yes,No,Short,Spam
923,Yes,Yes,Short,Spam
924,Yes,No,Short,Spam
925,Yes,No,Short,Spam
926,Yes,No,Short,Ham
927,Yes,Yes,Long,Ham
928,No,No,Short,Ham
929,Yes,Yes,Long,Spam
930,No,Yes,Long,Spam
